ID	citation	title	year	source	doi	link
170690			1881	Abh. senckenb. naturforsch. Ges. 12: 243		
170773			1881	Bot. Ztg. 39: 554		
170914			1897	Ann. Soc. Belge Microscop. 21: 24		
170938			1876	Gard. Chron., N.S. 5: 656		
171038			1919	Mitt. naturf. Ges. Bern: 62 ('1918')		
171076			1858	Jb. wiss. Bot. 1: 288		
172975			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 219		
173205			1860	Outl. Brit. Fung. (London): 349		
173574			1874	Hedwigia 13: 183		
173804			1860	in Berkeley, Outl. Brit. Fung. (London): 349		
173896			1850	Klotzschii Herb. Viv. Mycol., Edn 1: no. 1572		
174084			1910	Annls mycol. 8(5): 531		
174238			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 325		
174427			1876	Journal of the Royal Horticultural Society 12: 255		
174433			1859	Fungi europ. exsicc. 1: no. 86		
174590			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 128		
174598			1872	Annls Sci. Nat., Bot., sér. 5 15: 13		
174622			1863	Annls Sci. Nat., Bot., sér. 4 20: 114		
175561			1885	Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 47: 187		
175736			1874	Tagebl. Versamm. dt. naturf. Ärzte (Breslau) 47: 203		
175647			1910	Annls mycol. 8(5): 530		
175836			1918	Öst. bot. Z. 67: 33		
175946			1907	Mem. Dept. Agric. India 1(5): 80		
176009			1896	Ann. Soc. Belge Microscop. 20: 119		
176091			1919	Memoirs of the Dept. Agric. India, Bot. Ser. 10(4): 193		
176113			1874	Pythium debaryanum: ein endophytischer Schmarotzer in den Geweben der Keimlinge der Leindotter, der Rüben, der Spergels und einiger anderer landwirthschaftlichen Kulturpflanzen: 34		
176182			1892	in Winter, Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1(4): 398		
176357			1872	Syn. Saprolegniaceen und Beobachtungen über einige Arten: 50		
176443			1874	Tagebl. Versamm. dt. naturf. Ärzte (Breslau) 47: 203		
176538			1914	Mycologia 6(4): 204		
176580			1900	Bot. Gaz. 33: 55		
176653			1916	Taiwan, Sotokufu Noji Shikenjo (Agr. Exp. Stat. Formosa) 101: 9		
176710			1912	Annls mycol. 10(3): 245		
176798			1913	Bull. Soc. mycol. Fr. 29: 174		
176890			1854	Sber. Gesellschaft naturf. Freunde Berlin 10: 565		
177065			1918	Beih. bot. Zbl., Abt. 1 35: 524		
177151			1892	J. Mycol. 7(2): 105		
177356			1852	Bot. Ztg. 10: 619		
177419			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 95		
178320			1847	Bot. Ztg. 5: 314		
178385			1902	Boll. Soc. bot. ital., 1902: 168		
178686			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 63		
178773			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 328		
178852			1896	Verh. Ges. Deutsch. Naturf.: 67, 100		
178910			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 216		
179001			1918	Beih. bot. Zbl., Abt. 1 35: 531		
179131			1918	Meded. Lab. Pl. Ziekt. Buitenz. 32: 18		
179626			1881	in Lambotte, Fl. myc. Belg. (Verviers) 2: 119 ('1880')		
179668			1888	Bot. Ztg. 46(40): 648		
179723			1875	Ann. Mag. nat. Hist., Ser. 4 15(no. 85): 34		
179763			1881	in Lambotte, Fl. myc. Belg. (Verviers) 2: 119 ('1880')		
179807			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 243		
179825			1880	in Lambotte, Fl. myc. Belg. (Verviers): 120		
179933			1867	Pringsheims Jb. Wissenschaftl. Botanik 6: 61		
179981			1881	in Lambotte, Fl. myc. Belg. (Verviers) 2: 119 ('1880')		
180199			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 170		
180015			1881	Abh. senckenb. naturforsch. Ges. 12: 278		
180093			1883	Bot. Gaz. 8: 333		
180338			1876	Hedwigia 15: 134		
180381			1870	Jb. nassau. Ver. Naturk. 23-24: 70 ('1869-70')		
180399			1924	Mycologia 16(4): 145		
180515			1919	Mitt. naturf. Ges. Bern: 62 ('1918')		
181718			1918	Beih. bot. Zbl., Abt. 1 35: 526		
181802			1918	Beih. bot. Zbl., Abt. 1 35: 526		
181983			1914	Mycologia 6(4): 209		
182335			1923	in Gäumann, Beitr. Kryptfl. Schweiz 5(no. 4): 203		
182349			1898	Icon. fung. (Abellini) 4(1): 21		
183897			1888	Bot. Ztg. 46(40): 645		
183910			1872	Annls Sci. Nat., Bot., sér. 5 15: 24		
183964			1863	Annls Sci. Nat., Bot., sér. 4 20: 123		
183990			1893	Trans. Am. phil. Soc., New Series 17: 118 ('1892')		
184047			1912	Atlas Holubinek 7: 287		
184058			1892	J. Mycol. 7(2): 107		
184090			1908	Bot. Gaz. 45: 194		
184113			1883	Bot. Gaz. 8: 332		
184150			1893	Trans. Am. phil. Soc., New Series 17(3): 122 ('1892')		
184164			1867	Pringsheims Jb. Wissenschaftl. Botanik 6: 255		
184255			1892	in Winter, Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1(4): 490		
184268			1915	Bot. Gaz. 60(6): 486		
184447			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 129		
185971			1842	Icon. fung. (Prague) 5: 52		
186049			1847	Bot. Ztg. 5: 314		
186210			1919	Mitt. naturf. Ges. Bern: 64 ('1918')		
186377			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 222		
186452			1888	Bot. Notiser: 49		
186550			1857	in Rabenhorst, Klotzschii Herb. Viv. Mycol., Edn Nov, Ser. Sec., Cent. 4: no. 325		
186612			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 192		
186818			1910	Ber. dt. bot. Ges. 28: 250		
187058			1918	Beih. bot. Zbl., Abt. 1 35: 526		
187073			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 251 ('1889')		
187106			1918	Beih. bot. Zbl., Abt. 1 35: 526		
187176			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 54		
187242			1848	Klotzschii Herb. Viv. Mycol.: no. 1172		
188808			1914	Mycologia 6(4): 198		
189476			1896	Ann. Soc. Belge Microscop. 20: 123		
189531			1918	Beih. bot. Zbl., Abt. 1 35: 525		
189585			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 111		
189625			1923	in Gäumann, Beitr. Kryptfl. Schweiz 5(no. 4): 57		
190083			1863	Annls Sci. Nat., Bot., sér. 4 20: 121		
190361			1863	Fungi rhenani exsic., fasc. 1: no. 21		
190271			1882	Michelia 2(no. 8): 530		
190951			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 116		
191039			1854	in Rabenhorst, Klotzschii Herb. Viv. Mycol. 19: no. 1879		
191128			1891	Proc. Acad. nat. Sci. Philad. 43(1): 86		
191215			1921	Annls mycol. 18(4/6): 157 ('1920')		
191339			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 72		
191630			1865	Fungi rhenani exsic.: no. 1506		
192400			1876	Proc. R. Soc. Lond., B. Biol. Sci. 25: 17-18,238-257		
192515			1893	Trans. Am. phil. Soc., New Series 17: 125 ('1892')		
192556			1920	J. Elisha Mitchell scient. Soc. 36: 100		
192596			1867	Jb. wiss. Bot. 6(3): 258		
192654			1823	in Carus, Nova Acta Phys.-Med. Acad. Caes. Leop.-Carol. Nat. Cur. 11: 514		
192662			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 198		
192686			1904	Annls mycol. 2(3): 281		
192766			1914	Mycologia 6(6): 285		
193291			1897	Ber. dt. bot. Ges. 15: 475		
193350			1920	Mitt. naturf. Ges. Bern: 183 ('1919')		
193374			1868	Bot. Ztg. 26: 503		
193464			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 217		
193581			1918	Beih. bot. Zbl., Abt. 1 35: 527		
193955			1907	C. r. hebd. Séanc. Acad. Sci., Paris 145: 837		
194200			1917	Phytopathology 7: 127		
194284			1913	Memoirs of the Dept. Agric. India, Bot. Ser. 5(4): 226		
194286			1910	Ann. Bot., Lond. 24: 512		
194320			1925	Am. J. Bot. 12(7): 492		
194366			1881	Bot. Ztg. 39: 619		
194441			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(1–8): 135 ('1889')		
194443			1896	Meded. Lds PlTuin, Batavia 15: 57		
194375			1910	Annls mycol. 8(6): 621		
194412			1907	Bull. Torrey bot. Club 34: 392		
194478			1889	Bot. Gaz. 14(11): 274		
194524			1909	Krankh.  Flieders (Berlin): 18		
194528			1911	Ber. dt. bot. Ges. 29: 48		
194605			1919	Science Rep. agric. Res. Inst. Pusa: 82 ('1918')		
194653			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 66		
194740			1912	Krypt.-Fl. Brandenburg (Leipzig) 5: 600 ('1915')		
194779			1855	Ber. Bekanntm. Verhandl. Königlich Preuss. Akad. Wissensch. Berlin 3: 329		
194921			1863	Annls Sci. Nat., Bot., sér. 4 20: 120		
195222			1938	Am. J. Bot. 25: 394		
195240			1911	Wiss. Meeresuntersuch., Abt. Kiel., ser. 2 12: 163		
195379			1910	Annls mycol. 8(5): 525		
195394			1875	Contr. Algol. Fungol. (Leipzig) 1: 98		
195854			1892	in Winter, Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1(4): 475		
195710			1869	Mitt. naturf. Ges. Bern 654-683: 63 ('1868')		
195756			1868	Fungi rhenani exsic., suppl., fasc. 7(nos 2101-2200): no. 2102		
195868			1873	Fungi europ. exsicc.: no. 1747		
195899			1900	Bih. K. svenska VetenskAkad. Handl., Afd. 3 25(no. 8): 12 ('1899')		
196878			1923	Beitr. Kryptfl. Schweiz 5(no. 4): 119		
196901			1883	Jber. schles. Ges. vaterl. Kultur 61: 175		
196936			1863	Fungi rhenani exsic., fasc. 1: no. 30		
196974			1923	in Gäumann, Beitr. Kryptfl. Schweiz 5(no. 4): 291		
197033			1895	Contr. U.S. natnl. Herb. 3: no. 4		
197130			1918	in Gäumann, Beih. bot. Zbl., Abt. 1 35: 522		
197135			1876	Ann. Rep. N.Y. St. Mus. nat. Hist. 28: 63 ('1875')		
197212			1918	Svensk bot. Tidskr. 12: 444		
197352			1907	Ann. Mus. Congo Belge, Bot., Sér. 5 2(2): 85		
197384			1912	in Saccardo & Trotter, Syll. fung. (Abellini) 21: 859		
197460			1848	Annls Sci. Nat., Bot., sér. 3 8: 371		
197763			1885	Pilzthiere: 73		
197814			1885	Pilzthiere: 99		
197839			1885	Pilzthiere: 105		
197881			1882	Botan. Zbl. 11: 182		
197995			1865	Archs Anat. microsc. 1: 218		
198034			1865	Archs Anat. microsc. 1: 223		
198074			1882	Arch. Bot. N. France 2: 13 ('1883')		
198118			1911	Annls mycol. 9(3): 238		
198171			1912	Atlas Holubinek 7: 298		
198254			1893	Trans. Am. phil. Soc., New Series 17: 137 ('1892')		
198310			1912	Krypt.-Fl. Brandenburg (Leipzig) 5: 586 ('1915')		
198981			1909	Mém. Acad. Nac. Ci. ‘Antonia Alzate' 25: 293-305 ('1908-1909')		
199035			1911	in Saccardo & Traverso, Syll. fung. (Abellini) 20: 1286		
199086			1884	Fungi Guarantici 1: 65 ('1883')		
199105			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(1–8): 135 ('1889')		
199143			1913	Scientific Proc. R. Dublin Soc., N.S. 13: 555		
199308			1915	Spec. Report Agric. Exp. Station Formosa 11: 59		
199202			1907	Morbi arbor. fruct. jap.: 432		
199237			1919	Boln Acad. nac. Cienc. Córdoba 23(3-4): 447 ('1918')		
199282			1863	Annls Sci. Nat., Bot., sér. 4 20: 130		
199322			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 236 ('1889')		
199370			1883	Zalw. Bot. Cent. 15: 223		
199409			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(1–8): 135 ('1889')		
199912			1914	Mém. R. Accad. Sci. Ist. Bologna 10: 77		
199764			1918	Mycologia 10(3): 169		
200265			1910	Annls mycol. 8(5): 554		
200344			1860	Jb. wiss. Bot. 2: 178		
200467			1860	Jb. wiss. Bot. 2: 178		
200583			1899	Skr. VidenskSelsk. Christiania, Kl. I, Math.-Natur.(no. 3): [1]		
200670			1860	Jb. wiss. Bot. 2: 179		
200766			1918	Beih. bot. Zbl., Abt. 1 35: 525		
200781			1919	Annals Conservat. Bot. Genève 21: 10		
200879			1919	Annuaire Conser. et Jard. bot. Genève 21: 11		
201019			1918	Beih. bot. Zbl., Abt. 1 35: 525		
201548			1918	Beih. bot. Zbl., Abt. 1 35: 525		
201807			1912	Krypt.-Fl. Brandenburg (Leipzig) 5: 559 ('1915')		
202446			1895	Ann. Soc. Belge Microscop. 19: 11		
202577			1885	Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 47: 188		
202730			1824	Syst. alg.: 47		
202843			1824	Syst. alg.: 49		
202992			1843	Phycol. general.: 154		
203044			1827	Flora, Regensburg 10: 631		
203446			1888	in Berlese, De Toni & Fischer, Syll. fung. (Abellini) 7(1): 242		
203564			1887	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(17–24): 328 ('1889')		
203473			1926	Syll. fung. (Abellini) 24(1): 65		
203546			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 239 ('1889')		
203725			1886	in Cohn, Krypt.-Fl. Schlesien (Breslau) 3.1(9–16): 237 ('1889')		
203743			1891	Mass. Agric. Stat. Rep.: 210		
203778			1892	in Patouillard & Lagerheim, Bull. Soc. mycol. Fr. 8(3): 123		
203806			1905	Overs. K. danske Vidensk. Selsk. Forh. 5: 483		
203895			1888	in Berlese, De Toni & Fischer, Syll. fung. (Abellini) 7(1): 242		
203935			1907	Memoirs of the Dept. Agric. India, Bot. Ser. 1(5): 131		
204167			1888	Bot. Ztg. 46(40): 648		
203970			1907	Bot. Zap. 24: 25, 154		
203978			1872	Syn. Saprolegniaceen und Beobachtungen über einige Arten: 58		
204057			1892	in Winter, Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1(4): 36		
204087			1872	Syn. Saprolegniaceen und Beobachtungen über einige Arten: 58		
204137			1907	Memoirs of the Dept. Agric. India, Bot. Ser. 1: 131		
204238			1870	Jb. wiss. Bot. 7: 374		
204292			1892	in Winter, Rabenh. Krypt.-Fl., Edn 2 (Leipzig) 1(4): 35		
205101			1912	Krypt.-Fl. Brandenburg (Leipzig) 5: 549 ('1915')		
205259			1888	Bot. Ztg. 46(40): 635		
205309			1854	in Cohn, Nova Acta Acad. Caes. Leop.-Carol. Nat. Cur. 24: tab. 17, figs 21-25		
205320			1877	Bot. Jb. 11(2): 297		
205422			1893	Trans. Am. phil. Soc., New Series 17: 116 ('1892')		
205593			1894	Mém. R. Accad. Sci. Ist. Bologna, Ser. 5 4: 187		
205528			1895	Ann. Soc. Belge Microscop. 19: 96		
205649			1888	Abh. naturforsch. Ges. Halle 17: 103		
205708			1902	Hedwigia 41: 105		
205832			1897	Ann. Soc. Belge Microscop. 21: 10		
205911			1885	Nova Acta Acad. Caes. Leop.-Carol. German. Nat. Cur. 47: 158		
207331			1824	Syst. alg.: 48		
207352			1867	in Pringsheim, Pringsheims Jb. Wissenschaftl. Botanik 6: 261		
207390			1885	Ber. dt. bot. Ges. 3: 103		
207582			1843	Phycol. general.: 154		
208212			1915	Journal of Agricultural Research 4: 291		
208442			1843	Phycol. general.: 154		
208507			1890	Ann. Rep. Reg. N.Y. St. Mus. 43: 74		
208580			1849	C. r. Seanc. Soc. Biol.  1: 23		
208592			1888	in Berlese, De Toni & Fischer, Syll. fung. (Abellini) 7(1): 239		
208686			1902	J. Mycol. 8(2): 70		
208718			1893	Ann. Soc. Belge Microscop. 17: 8		
208731			1896	Ann. Soc. Belge Microscop. 20: 127, 124		
208765			1824	Syst. alg.: 48		
