ID	parentID	nameID	provisional	accordingTo	accordingToID	accordingToDate	referenceID	fossil	recent	lifezone	link	kingdom	phylum	class	order	family	genus	species
122113		122113	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=122113	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Albugo	candida
124398		124398	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=124398	Chromista	Oomycota	Peronosporea	Saprolegniales	Saprolegniaceae	Dictyuchus	pisci
124566		124566	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=124566	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	syreniae-cuspidatae
125514		125514	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125514	Chromista	Oomycota	Peronosporea	Peronosporales	Crypticolaceae	Crypticola	clavulifera
125526		125526	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125526	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	artemisiae-annuae
125527		125527	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125527	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	artemisiae-biennis
125528		125528	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125528	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	chrysanthemi-coronarii
125529		125529	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125529	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	leptosperma
125530		125530	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125530	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	minor
125531		125531	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125531	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	multiformis
125532		125532	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125532	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	sulphurea
125533		125533	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125533	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Paraperonospora	tanaceti
125535		125535	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=125535	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Peronospora	microulae
126013		126013	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126013	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	avicenniae
126014		126014	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126014	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	bahamensis
126015		126015	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126015	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	batemanensis
126016		126016	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126016	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	epistomium
126017		126017	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126017	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	mycoparasitica
126018		126018	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126018	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	operculata
126019		126019	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126019	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	polymorphica
126021		126021	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126021	Chromista	Oomycota	Peronosporea	Peronosporales	Peronosporaceae	Halophytophthora	vesicula
126629		126629	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126629	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Myzocytium	rotiferum
126630		126630	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126630	Chromista	Oomycota	Peronosporea	Olpidiopsidales	Olpidiopsidaceae	Olpidiopsis	decipiens
126632		126632	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126632	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	clavatum
126633		126633	0	Kew Mycology 2020				0	1	terrestrial	http://www.indexfungorum.org/Names/NamesRecord.asp?RecordID=126633	Chromista	Oomycota	Peronosporea	Peronosporales	Pythiaceae	Lagenidium	obovatum
