ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
477279	Pythiogeton uniforme	A. Lund	sp.	Pythiogeton	uniforme		477279	54	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477279
477280	Sphaerita normeti	A. Lwoff	sp.	Sphaerita	normeti		477280	18	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477280
477281	Leptolegnia bandoniensis	A.P. Swan	sp.	Leptolegnia	bandoniensis		477281	32	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477281
477282	Spongospora cotulae	Barrett	sp.	Spongospora	cotulae		477282	74	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477282
477283	Sphaerita dangeardii	Chatton & Brodskii	sp.	Sphaerita	dangeardii		477283	8	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477283
477288	Albugo tropica	(Lagerh.) Lagerh. ex G.W. Wilson	sp.	Albugo	tropica		477288	68	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477288
477289	Pseudosphaerita euglenae	P.A. Dang.	sp.	Pseudosphaerita	euglenae		477289	243	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477289
477290	Sclerophthora lolii	R.G. Kenneth	sp.	Sclerophthora	lolii		477290	139	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477290
477292	Phytophthora lepironiae	Sawada	sp.	Phytophthora	lepironiae		477292	10	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477292
477293	Bremia elliptica	Sawada	sp.	Bremia	elliptica		477293	(139)	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477293
477294	Sphaerita phaci	T.L. Jahn	sp.	Sphaerita	phaci		477294	350	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477294
477295	Bremia lactucae var. hedypnoidis	Uljan.	var.	Bremia	lactucae	hedypnoidis	477295	137	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477295
477296	Woronina aggregata	Zopf	sp.	Woronina	aggregata		477296	63	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=477296
478007	Rhysotheca halstedii	(Farl.) G.W. Wilson	sp.	Rhysotheca	halstedii		478007	403	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=478007
479151	Phytophthora oryzae	(Brizi) Hara	sp.	Phytophthora	oryzae		479151	57	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=479151
479447	Achlya klebsiana var. klebsiana	Pieters	var.	Achlya	klebsiana	klebsiana	479447	486	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=479447
481655	Isoachlya glomerata	W. Richt. ex Cejp	sp.	Isoachlya	glomerata		481655	197-205	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=481655
481686	Peronospora myosotidis var. echii	Krieg.	var.	Peronospora	myosotidis	echii	481686	no. 1880	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=481686
481940	Peronospora melampyri-cristati	Săvul. & Rayss	sp.	Peronospora	melampyri-cristati		481940	16	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=481940
482580	Pythium hypogynum	Middleton	sp.	Pythium	hypogynum		482580	69	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=482580
482747	Calyptralegnia basraensis	Muhsin	sp.	Calyptralegnia	basraensis		482747	415	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=482747
483155	Pythium podbielkowskii	(A. Batko) M.W. Dick	sp.	Pythium	podbielkowskii		483155	294	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483155
483156	Pythium caudatum	(G.L. Barron) M.W. Dick	sp.	Pythium	caudatum		483156	294	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483156
483157	Myzocytium rabenhorstii	(Zopf) M.W. Dick	sp.	Myzocytium	rabenhorstii		483157	295	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483157
483158	Myzocytium netrii	(C.E. Mill.) M.W. Dick	sp.	Myzocytium	netrii		483158	295	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483158
483159	Cystosiphon dictyosporus	(Racib.) M.W. Dick	sp.	Cystosiphon	dictyosporus		483159	301	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483159
483160	Cystosiphon closterii	(De Wild.) M.W. Dick	sp.	Cystosiphon	closterii		483160	301	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483160
483161	Cystosiphon reductus	(De Wild.) M.W. Dick	sp.	Cystosiphon	reductus		483161	301	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483161
483162	Cystosiphon canterae	(Karling) M.W. Dick	sp.	Cystosiphon	canterae		483162	301	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483162
483169	Haliphthoros zoophthorum	(Vishniac) M.W. Dick	sp.	Haliphthoros	zoophthorum		483169	317	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483169
483170	Aphanomycopsis entophyta	(Pringsh.) M.W. Dick	sp.	Aphanomycopsis	entophyta		483170	325	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483170
483171	Cornumyces destruens	(Sparrow) M.W. Dick	sp.	Cornumyces	destruens		483171	327	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483171
483172	Cornumyces pygmaeus	(Zopf) M.W. Dick	sp.	Cornumyces	pygmaeus		483172	327	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483172
483173	Cornumyces irregularis	(Const.) M.W. Dick	sp.	Cornumyces	irregularis		483173	327	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483173
483174	Cornumyces muenscheri	(Cutter) M.W. Dick	sp.	Cornumyces	muenscheri		483174	327	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483174
483175	Cornumyces utriculobus	(C.E. Mill.) M.W. Dick	sp.	Cornumyces	utriculobus		483175	327	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483175
483176	Cornumyces catenophlyctidis	(B.M. Sundaram) M.W. Dick	sp.	Cornumyces	catenophlyctidis		483176	328	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483176
483177	Cornumyces endogenus	(Karling) M.W. Dick	sp.	Cornumyces	endogenus		483177	328	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483177
483178	Cornumyces karlingiae	(Karling) M.W. Dick	sp.	Cornumyces	karlingiae		483178	328	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483178
483179	Hyphochytrium elongatum	(Karling) M.W. Dick	sp.	Hyphochytrium	elongatum		483179	331	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483179
483180	Rhizidiomyces stomatosus	(Sparrow) M.W. Dick	sp.	Rhizidiomyces	stomatosus		483180	334	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483180
483182	Pleocystidium lundiae	(Karling) M.W. Dick	sp.	Pleocystidium	lundiae		483182	346	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483182
483183	Pleocystidium pygmaeoides	(Karling) M.W. Dick	sp.	Pleocystidium	pygmaeoides		483183	346	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483183
483184	Sirolpidium andreei	(Lagerh.) M.W. Dick	sp.	Sirolpidium	andreei		483184	359	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483184
483185	Sirolpidium salinum	(P.A. Dang.) M.W. Dick	sp.	Sirolpidium	salinum		483185	360	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483185
483186	Sirolpidium paradoxum	(H.E. Petersen) M.W. Dick	sp.	Sirolpidium	paradoxum		483186	360	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483186
483187	Sirolpidium glenodinianum	(P.A. Dang.) M.W. Dick	sp.	Sirolpidium	glenodinianum		483187	360	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483187
483188	Sirolpidium marinum	(P.A. Dang.) M.W. Dick	sp.	Sirolpidium	marinum		483188	360	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483188
483189	Sirolpidium globosum	(Anastasiou & Churchl.) M.W. Dick	sp.	Sirolpidium	globosum		483189	360	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483189
483190	Myzocytiopsis osiris	Glockling	sp.	Myzocytiopsis	osiris		483190	351	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483190
483191	Myzocytiopsis bolata	Glockling	sp.	Myzocytiopsis	bolata		483191	351	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483191
483192	Chlamydomyzium sphaericum	Glockling	sp.	Chlamydomyzium	sphaericum		483192	354	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483192
483193	Pontisma inhabile	(H.E. Petersen) M.W. Dick	sp.	Pontisma	inhabile		483193	362	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483193
483195	Pontisma magnusii	(Feldmann & Feldm.-Maz.) M.W. Dick	sp.	Pontisma	magnusii		483195	363	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483195
483196	Pontisma dangeardii	(Feldmann & Feldm.-Maz.) M.W. Dick	sp.	Pontisma	dangeardii		483196	363	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483196
483197	Pontisma antithamnionis	(Whittick & South) M.W. Dick	sp.	Pontisma	antithamnionis		483197	363	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483197
483198	Eurychasmidium sacculum	(H.E. Petersen) M.W. Dick	sp.	Eurychasmidium	sacculum		483198	366	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483198
483199	Eurychasmidium joyceae	(Sparrow) M.W. Dick	sp.	Eurychasmidium	joyceae		483199	366	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483199
483200	Anisolpidium joklianum	M.W. Dick	sp.	Anisolpidium	joklianum		483200	368	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483200
483201	Anisolpidium minutum	(H.E. Petersen) M.W. Dick	sp.	Anisolpidium	minutum		483201	368	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483201
483202	Anisolpidium olpidium	(H.E. Petersen) M.W. Dick	sp.	Anisolpidium	olpidium		483202	368	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483202
483204	Pseudosphaerita dinobryi	(Canter) M.W. Dick	sp.	Pseudosphaerita	dinobryi		483204	378	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483204
483208	Pleotrachelus itersoniliae	(D.J.S. Barr & Bandoni) M.W. Dick	sp.	Pleotrachelus	itersoniliae		483208	381	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483208
483209	Spongospora nasturtii	M.W. Dick	sp.	Spongospora	nasturtii		483209	387	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483209
483210	Ectrogella brachystoma	(Scherff.) M.W. Dick	sp.	Ectrogella	brachystoma		483210	397	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483210
483211	Ectrogella cyclotellae	(Scherff.) M.W. Dick	sp.	Ectrogella	cyclotellae		483211	397	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483211
483940	Pythium proliferatum	B. Paul	sp.	Pythium	proliferatum		483940	193	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483940
483941	Pythium canariense	B. Paul	sp.	Pythium	canariense		483941	136	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483941
483956	Achlya robusta	Steciow & Elíades	sp.	Achlya	robusta		483956	178	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=483956
484022	Saprolegnia milnae	Steciow	sp.	Saprolegnia	milnae		484022	474	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484022
484085	Peronoplasmopara elatostematis	Togashi & Onuma	sp.	Peronoplasmopara	elatostematis		484085	2	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484085
484323	Pythium pectinolyticum	B. Paul	sp.	Pythium	pectinolyticum		484323	56	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484323
484596	Phytophthora europaea	E.M. Hansen & T. Jung	sp.	Phytophthora	europaea		484596	399	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484596
484597	Phytophthora uliginosa	T. Jung & E.M. Hansen	sp.	Phytophthora	uliginosa		484597	403	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484597
484598	Phytophthora psychrophila	T. Jung & E.M. Hansen	sp.	Phytophthora	psychrophila		484598	405	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484598
484600	Achlya truncatiformis	M.W. Dick & Mark A. Spencer	sp.	Achlya	truncatiformis		484600	557	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484600
484601	Newbya pascuicola	M.C. Vick & M.W. Dick	sp.	Newbya	pascuicola		484601	558	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484601
484602	Newbya apiculata	(de Bary) M.W. Dick & Mark A. Spencer	sp.	Newbya	apiculata		484602	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484602
484603	Newbya brasiliensis	(A.I. Milanez) Mark A. Spencer	sp.	Newbya	brasiliensis		484603	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484603
484604	Newbya curvicollis	(Beroqui) Mark A. Spencer	sp.	Newbya	curvicollis		484604	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484604
484605	Newbya megasperma	(Humphrey) Mark A. Spencer	sp.	Newbya	megasperma		484605	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484605
484606	Newbya oblongata	(de Bary) Mark A. Spencer	sp.	Newbya	oblongata		484606	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484606
484607	Newbya oblongata var. gigantea	(E.J. Forbes) Mark A. Spencer	var.	Newbya	oblongata	gigantea	484607	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484607
484608	Newbya oligocantha	(de Bary) Mark A. Spencer	sp.	Newbya	oligocantha		484608	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484608
484609	Newbya polyandra	(Hildebr.) Mark A. Spencer	sp.	Newbya	polyandra		484609	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484609
484610	Newbya recurva	(Cornu) M.W. Dick & Mark A. Spencer	sp.	Newbya	recurva		484610	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484610
484611	Newbya spinosa	(de Bary) Mark A. Spencer & M.W. Dick	sp.	Newbya	spinosa		484611	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484611
484612	Newbya stellata	(de Bary) Mark A. Spencer & M.W. Dick	sp.	Newbya	stellata		484612	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484612
484858	Saprolegnia longicaulis	Steciow	sp.	Saprolegnia	longicaulis		484858	483	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484858
484949	Saprolegnia semihypogyna	S. Inaba & Tokum.	sp.	Saprolegnia	semihypogyna		484949	73	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484949
484997	Pythium disodylis	Bacc.	sp.	Pythium	disodylis		484997	6	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=484997
485183	Achlya ambispora	Steciow	sp.	Achlya	ambispora		485183	277	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485183
485224	Newbya oblongata var. oblongata	(de Bary) Mark A. Spencer	var.	Newbya	oblongata	oblongata	485224	559	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485224
485226	Saprolegnia anomala	Gandhe & Kurne	sp.	Saprolegnia	anomala		485226	1271	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485226
485243	Aplanochytrium stocchinoi	Andreoli & Moro	sp.	Aplanochytrium	stocchinoi		485243	332	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485243
485475	Cystopus bliti f. bliti	(Biv.) Lév.	f.	Cystopus	bliti	bliti	485475	371	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485475
485632	Olpidiopsis pythii f. pythii	(E.J. Butler) Karling	f.	Olpidiopsis	pythii	pythii	485632	47	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=485632
486267	Peronospora aethionematis	Simonyan	sp.	Peronospora	aethionematis		486267	86	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486267
486687	Sphaerita radiata	P.A. Dang.	sp.	Sphaerita	radiata		486687	54	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486687
486809	Achlya racemosa f. maxima	Minden	f.	Achlya	racemosa	maxima	486809	548	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486809
486828	Achlya americana var. cambrica	Trow	var.	Achlya	americana	cambrica	486828	135	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486828
486847	Peronospora rapistri	Oescu & Rădul.	sp.	Peronospora	rapistri		486847	434	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486847
486848	Plasmopara pileae	Gäum. ex Jacz.	sp.	Plasmopara	pileae		486848	122	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=486848
487168	Peronospora pulmonariae	Jacz.	sp.	Peronospora	pulmonariae		487168	130	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=487168
487566	Saprolegnia variabilis	Steciow & Elíades	sp.	Saprolegnia	variabilis		487566	684	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=487566
487665	Pythium campanulatum	R. Mathew, K.K. Singh & B. Paul	sp.	Pythium	campanulatum		487665	10	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=487665
487682	Protoachlya nainitalensis	M. Upadhyay & Khulbe	sp.	Protoachlya	nainitalensis		487682	343	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=487682
488028	Viennotia oplismeni	(Vienn.-Bourg.) Göker, Voglmayr, Riethm., M. Weiss & Oberw.	sp.	Viennotia	oplismeni		488028	682	ICN		www.indexfungorum.org/Names/NamesRecord.asp?RecordID=488028
