nameID	relatedNameID	type	publishedInID	remarks
120651	585615	Orthographic variant		
120654	628314	Orthographic variant		
120669	248008	Orthographic variant		
120688	535397	Orthographic variant		
120692	244084	Orthographic variant		
120710	569128	Orthographic variant		
120715	238631	Orthographic variant		
120723	327583	Orthographic variant		
120724	633871	Orthographic variant		
120731	587085	Orthographic variant		
120734	186764	Orthographic variant		
120736	274327	Orthographic variant		
120778	364212	Orthographic variant		
120961	298343	Orthographic variant		
120794	150443	Orthographic variant		
120796	269518	Orthographic variant		
120831	224488	Orthographic variant		
120852	535023	Orthographic variant		
120860	533419	Orthographic variant		
120861	222016	Orthographic variant		
120863	502959	Orthographic variant		
120864	630109	Orthographic variant		
120881	173446	Orthographic variant		
120884	144293	Orthographic variant		
120885	270938	Orthographic variant		
120886	535321	Orthographic variant		
120889	178658	Orthographic variant		
120892	633201	Orthographic variant		
120899	307214	Orthographic variant		
120900	535523	Orthographic variant		
120930	344312	Orthographic variant		
121003	288249	Orthographic variant		
121004	288250	Orthographic variant		
121005	291505	Orthographic variant		
121161	214653	Orthographic variant		
121162	225854	Orthographic variant		
121168	234119	Orthographic variant		
121182	535594	Orthographic variant		
121034	535584	Orthographic variant		
121041	273367	Orthographic variant		
121049	293383	Orthographic variant		
121072	285009	Orthographic variant		
121076	187628	Orthographic variant		
121078	222858	Orthographic variant		
121086	142113	Orthographic variant		
121087	182961	Orthographic variant		
121090	288258	Orthographic variant		
121098	635633	Orthographic variant		
121099	273917	Orthographic variant		
121100	631328	Orthographic variant		
121103	288259	Orthographic variant		
121126	274324	Orthographic variant		
121150	528798	Orthographic variant		
121158	207324	Orthographic variant		
121204	275169	Orthographic variant		
121211	214323	Orthographic variant		
121381	196254	Orthographic variant		
121603	285159	Orthographic variant		
121605	307135	Orthographic variant		
121218	185470	Orthographic variant		
121223	508808	Orthographic variant		
121224	293509	Orthographic variant		
121234	287071	Orthographic variant		
121235	318388	Orthographic variant		
121236	316984	Orthographic variant		
121241	626884	Orthographic variant		
121251	275842	Orthographic variant		
121262	535309	Orthographic variant		
121279	508898	Orthographic variant		
121295	627393	Orthographic variant		
121296	300790	Orthographic variant		
121310	165878	Orthographic variant		
121321	534887	Orthographic variant		
121323	631417	Orthographic variant		
121334	290093	Orthographic variant		
121343	415007	Orthographic variant		
121347	334182	Orthographic variant		
121348	291926	Orthographic variant		
121364	100757	Orthographic variant		
121403	531787	Orthographic variant		
121404	247103	Orthographic variant		
121411	185334	Orthographic variant		
121413	208749	Orthographic variant		
121417	635168	Orthographic variant		
121418	633868	Orthographic variant		
121433	185185	Orthographic variant		
121436	244027	Orthographic variant		
121442	228982	Orthographic variant		
121443	183099	Orthographic variant		
121451	156270	Orthographic variant		
121464	344047	Orthographic variant		
121471	218115	Orthographic variant		
121472	535453	Orthographic variant		
121485	112036	Orthographic variant		
121494	206328	Orthographic variant		
121496	455961	Orthographic variant		
121510	279733	Orthographic variant		
121512	158877	Orthographic variant		
121518	152684	Orthographic variant		
121527	507328	Orthographic variant		
121528	172766	Orthographic variant		
121532	327913	Orthographic variant		
121542	235910	Orthographic variant		
121557	105094	Orthographic variant		
121561	204690	Orthographic variant		
121566	630155	Orthographic variant		
121573	621899	Orthographic variant		
121589	534696	Orthographic variant		
121599	155800	Orthographic variant		
121627	178697	Orthographic variant		
121635	301869	Orthographic variant		
121839	533392	Orthographic variant		
121842	255753	Orthographic variant		
122112	251248	Orthographic variant		
122123	628625	Orthographic variant		
121646	255369	Orthographic variant		
121647	151233	Orthographic variant		
121673	513825	Orthographic variant		
121680	282069	Orthographic variant		
121688	635080	Orthographic variant		
121689	212296	Orthographic variant		
121696	326998	Orthographic variant		
121700	531681	Orthographic variant		
121703	522256	Orthographic variant		
121706	201962	Orthographic variant		
121709	534853	Orthographic variant		
121710	534855	Orthographic variant		
121719	121118	Orthographic variant		
121745	401581	Orthographic variant		
121747	332222	Orthographic variant		
121756	536261	Orthographic variant		
121783	101805	Orthographic variant		
121811	627235	Orthographic variant		
121865	236258	Orthographic variant		
121894	293314	Orthographic variant		
121923	199562	Orthographic variant		
121924	361909	Orthographic variant		
121939	146720	Orthographic variant		
121941	256966	Orthographic variant		
121957	377924	Orthographic variant		
121981	172306	Orthographic variant		
121991	291826	Orthographic variant		
122029	257869	Orthographic variant		
122045	248373	Orthographic variant		
122051	195640	Orthographic variant		
122095	212789	Orthographic variant		
122130	157648	Orthographic variant		
122135	229418	Orthographic variant		
122363	586365	Orthographic variant		
122178	260588	Orthographic variant		
122220	542029	Orthographic variant		
122231	622022	Orthographic variant		
122244	567043	Orthographic variant		
122258	530337	Orthographic variant		
122262	535683	Orthographic variant		
122272	288770	Orthographic variant		
122293	146825	Orthographic variant		
122297	297069	Orthographic variant		
122302	585290	Orthographic variant		
122306	530763	Orthographic variant		
122383	176133	Orthographic variant		
122387	263782	Orthographic variant		
122391	251951	Orthographic variant		
122401	521829	Orthographic variant		
122440	535167	Orthographic variant		
122468	152878	Orthographic variant		
122474	152494	Orthographic variant		
122609	533325	Orthographic variant		
122619	631675	Orthographic variant		
122524	265300	Orthographic variant		
122548	394998	Orthographic variant		
122559	168899	Orthographic variant		
122634	175384	Orthographic variant		
122636	543147	Orthographic variant		
122642	157853	Orthographic variant		
122646	320100	Orthographic variant		
122652	100346	Orthographic variant		
122656	246171	Orthographic variant		
122657	382870	Orthographic variant		
122864	153764	Orthographic variant		
122880	630932	Orthographic variant		
122693	535161	Orthographic variant		
122694	621875	Orthographic variant		
122708	136329	Orthographic variant		
122709	414133	Orthographic variant		
122782	151291	Orthographic variant		
122791	565865	Orthographic variant		
122840	506827	Orthographic variant		
122900	399720	Orthographic variant		
122921	175529	Orthographic variant		
123146	357133	Orthographic variant		
123148	565727	Orthographic variant		
122993	129289	Orthographic variant		
122995	196179	Orthographic variant		
123014	626885	Orthographic variant		
123015	284311	Orthographic variant		
123021	194373	Orthographic variant		
123027	207264	Orthographic variant		
123028	238576	Orthographic variant		
123065	633210	Orthographic variant		
123079	207676	Orthographic variant		
123088	399347	Orthographic variant		
123093	206625	Orthographic variant		
123154	581794	Orthographic variant		
123207	203885	Orthographic variant		
123237	534982	Orthographic variant		
123238	516814	Orthographic variant		
123247	324928	Orthographic variant		
123343	472371	Orthographic variant		
123354	534998	Orthographic variant		
123362	244789	Orthographic variant		
123320	214482	Orthographic variant		
123321	246935	Orthographic variant		
123396	376237	Orthographic variant		
123410	171499	Orthographic variant		
123435	565131	Orthographic variant		
123450	280029	Orthographic variant		
123501	534967	Orthographic variant		
123520	288776	Orthographic variant		
123526	281078	Orthographic variant		
123536	534836	Orthographic variant		
123537	173267	Orthographic variant		
123540	281314	Orthographic variant		
123548	542981	Orthographic variant		
123550	528864	Orthographic variant		
123573	472942	Orthographic variant		
123589	211434	Orthographic variant		
123601	535644	Orthographic variant		
123620	154425	Orthographic variant		
123625	357429	Orthographic variant		
123648	353300	Orthographic variant		
123663	588553	Orthographic variant		
123676	625529	Orthographic variant		
123679	454064	Orthographic variant		
123680	546839	Orthographic variant		
123681	635648	Orthographic variant		
123695	472926	Orthographic variant		
123707	347155	Orthographic variant		
124063	346619	Orthographic variant		
124071	545710	Orthographic variant		
124084	347276	Orthographic variant		
123728	350951	Orthographic variant		
123729	569613	Orthographic variant		
123739	625827	Orthographic variant		
123741	346560	Orthographic variant		
123744	179554	Orthographic variant		
123769	534475	Orthographic variant		
123787	346560	Orthographic variant		
123806	506076	Orthographic variant		
123817	635167	Orthographic variant		
123819	353272	Orthographic variant		
123837	348610	Orthographic variant		
123850	346418	Orthographic variant		
123865	267550	Orthographic variant		
123904	165298	Orthographic variant		
123940	626794	Orthographic variant		
123953	183328	Orthographic variant		
123966	542130	Orthographic variant		
123967	508892	Orthographic variant		
123973	538554	Orthographic variant		
123974	538553	Orthographic variant		
123975	186383	Orthographic variant		
123976	347246	Orthographic variant		
123979	537138	Orthographic variant		
123989	454086	Orthographic variant		
123997	139294	Orthographic variant		
124011	585071	Orthographic variant		
124048	424869	Orthographic variant		
124089	546816	Orthographic variant		
124113	351969	Orthographic variant		
124179	623285	Orthographic variant		
124245	534522	Orthographic variant		
124282	635025	Orthographic variant		
124494	622368	Orthographic variant		
124381	535808	Orthographic variant		
124466	529407	Orthographic variant		
124472	536214	Orthographic variant		
124514	584802	Orthographic variant		
124698	536821	Orthographic variant		
124699	536822	Orthographic variant		
124567	528766	Orthographic variant		
124753	539113	Orthographic variant		
124757	185431	Orthographic variant		
124767	470376	Orthographic variant		
124815	547792	Orthographic variant		
124816	517518	Orthographic variant		
124997	521766	Orthographic variant		
125096	279637	Orthographic variant		
125107	536210	Orthographic variant		
125166	544175	Orthographic variant		
125211	626677	Orthographic variant		
125277	535590	Orthographic variant		
125321	625946	Orthographic variant		
125335	257679	Orthographic variant		
125410	587255	Orthographic variant		
125607	292223	Orthographic variant		
125609	581369	Orthographic variant		
125611	292228	Orthographic variant		
125612	292230	Orthographic variant		
125616	292272	Orthographic variant		
125554	634763	Orthographic variant		
125585	631516	Orthographic variant		
125737	269406	Orthographic variant		
126059	632175	Orthographic variant		
126394	278297	Orthographic variant		
126257	539388	Orthographic variant		
126314	631508	Orthographic variant		
126346	534784	Orthographic variant		
126447	626553	Orthographic variant		
126454	537367	Orthographic variant		
126492	278570	Orthographic variant		
126597	535085	Orthographic variant		
126695	604380	Orthographic variant		
126765	546377	Orthographic variant		
127313	631685	Orthographic variant		
127677	626852	Orthographic variant		
127545	451203	Orthographic variant		
127584	627519	Orthographic variant		
