ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
113905	Neozygites adjarica	(Tsints. & Vartap.) Remaud. & S. Keller							ICN		
113906	Neozygites floridana	(J. Weiser & Muma) Remaud. & S. Keller							ICN		
113910	Neozygites parvispora	(D.M. MacLeod & K.P. Carl) Remaud. & S. Keller							ICN		
113911	Neozygites turbinata	(R.G. Kenneth) Remaud. & S. Keller							ICN		
114043	Spongiporus leucomallelus	(Murrill) A. David							ICN		
114091	Ustilago beckeropsis	Zambett.							ICN		
114105	Phellodon excentri-mexicanus	R.E. Baird							ICN		
114138	Fibroporia angulipora	M.J. Larsen & Lombard							ICN		
114260	Cordyceps rubiginosoperitheciata	Kobayasi & Shimizu							ICN		
114261	Cordyceps rubiginosostipitata	Kobayasi & Shimizu							ICN		
114273	Cordyceps annullata	Kobayasi & Shimizu							ICN		
114318	Cordyceps pilfera	Kobayasi							ICN		
114366	Elsinoë opuntiicola	T.T. Barros							ICN		
114483	Agaricus striaepes	Cooke							ICN		
114536	Monilia rotunda	(Castell.) Castell. & Chalm.							ICN		
114553	Monilia faecilis	(Castell.) Castell. & Chalm.							ICN		
114560	Monilia burgesii	(Castell.) Castell. & Chalm.							ICN		
114594	Strickeria emili	(Fabre) Kuntze							ICN		
114626	Strickeria oxystomodes	(Sacc.) Kuntze							ICN		
114628	Strickeria ohioensis	(Ellis & Everh.) Kuntze							ICN		
114639	Strickeria crotonodes	(Pass.) Kuntze							ICN		
114651	Strickeria phragmites	(Pass.) Lindau							ICN		
114789	Anisomeridium nyssogenum	(Ellis & Everh.) R.C. Harris							ICN		
114839	Hydrocybe nivea	(Scop.) Murrill							ICN		
114902	Macabuna zizyphi	(Pat.) Buriticá & J.F. Hennen							ICN		
114911	Crepidotus roseo-ornatus	Pöder & E. Ferrari							ICN		
114927	Bactrodesmium novae-geronense	R.F. Castañeda							ICN		
115045	Clasterosporites eocaenicus	(Fritel & R. Vig.) Pia							ICN		
115138	Diorchidium copaifera	(Henn.) Cummins & Y. Hirats.							ICN		
115164	Frommeëlla tormentillae	(Fuckel) Cummins & Y. Hirats.							ICN		
115334	Stenella citri-grisea	(F.E. Fisher) Sivan.							ICN		
115355	Fusarium lacertatum	Subrahm.							ICN		
115550	Nematoloma munnarense	Sathe & J.T. Daniel							ICN		
115571	Septobasidium spiculosum	(Couch & Petch) Wojewoda							ICN		
115628	Lagenidium lundii	Karling							ICN		
115706	Phomopsis capsicum	(Magnaghi) Sacc.							ICN		
115814	Rozites neocaledonica	E. Horak							ICN		
115820	Stachybotrys guttulispora	Muhsin & Al-Helfi							ICN		
115902	Austroboletus fruticicola	(Berk.) E. Horak							ICN		
115907	Austroboletus schichianus	(Teng & L. Ling) E. Horak							ICN		
116137	Polyporus retirugis	(Bres.) Ryvarden							ICN		
116145	Antrodia daedaliformis	(Henn.) Ryvarden							ICN		
116153	Ceriporia ferruginicincta	(Murrill) Ryvarden							ICN		
116161	Perenniporia detritus	(Berk.) Ryvarden							ICN		
116436	Caloplaca saxicola subsp. obliterata	(Pers.) Clauzade & Cl. Roux							ICN		
116537	Psalliota campestris var. silvicola	(Vittad.) Quél.							ICN		
116538	Psalliota silvatica var. amethystina	Quél.							ICN		
116541	Pratella campestris var. silvicola	(Vittad.) Gillet							ICN		
116590	Amanita rubescens var. annulosulphurea	Gillet							ICN		
116600	Absidia coerulea var. saccardoi	(Oudem.) Váňová							ICN		
116626	Cortinarius cumatilis var. robustum	(M.M. Moser) Quadr.							ICN		
116660	Hohenbuehelia petalodes var. macrospora	(Bon) Courtec.							ICN		
116692	Phaeotellus griseopallidus var. tetraspora	Kühner & Lamoure ex Courtec.							ICN		
116694	Pollaccia radiosa var. lethifera	(Peck) M. Morelet							ICN		
116737	Entoloma chalybaeum var. lazulinum	(Fr.) Noordel.							ICN		
116845	Rubinoboletus ballouii var. luteoporus	Heinem. & Rammeloo							ICN		
116846	Rubinoboletus ballouii var. fuscatus	(Corner) Heinem. & Rammeloo							ICN		
116868	Tubaria pentstemonis var. phragmocystidiosa	Natarajan & Raman							ICN		
116890	Collybia butyracea var. ushuaiensis	(Speg.) Raithelh.							ICN		
116894	Cylindrocladium avesticulatum var. microsporae	L.N. Nair & V.S. Nair							ICN		
116896	Cystoderma terrei var. claricolor	(Romagn.) Bon							ICN		
116917	Hebeloma pseudofastibile var. distans	A.H. Sm., V.S. Evenson & Mitchel							ICN		
116954	Rhizopus stolonifer var. lyococcos	(Ehrenb.) Stalpers & Schipper							ICN		
117018	Lepiota cystophorioides var. septentrionalis	Bon							ICN		
117067	Leucoagaricus wychanskyi var. macrospora	Sathe & S.M. Kulk.							ICN		
117131	Uncinula kusanoi var. zelkowae	(Henn.) U. Braun							ICN		
117143	Acarospora nitrophila var. suzai	(H. Magn.) Clauzade & Cl. Roux							ICN		
117146	Acarospora tongleti var. paupera	(H. Magn.) Clauzade & Cl. Roux							ICN		
117160	Cortinarius calochrous var. beneolens	Chevassut & Rob. Henry							ICN		
117205	Inocybe fastigiata var. aladior	Alessio							ICN		
117228	Corticium odoratum var. alni	(Fr.) Bourdot & Galzin							ICN		
117340	Lecidea promiscua var. cervinicola	(B. de Lesd.) Clauzade & Cl. Roux							ICN		
117343	Lecidella alaiensis var. spitzbergensis	(Lynge) Clauzade & Cl. Roux							ICN		
117358	Pertusaria amara var. szataelae	(Erichsen) Clauzade & Cl. Roux							ICN		
117435	Arthrobotrys oligospora var. microspora	(Soprunov) Oorschot							ICN		
117436	Arthrobotrys oligospora var. sarmatica	(Jarow.) Oorschot							ICN		
117445	Cortinarius calochrous var. caroli	(Velen.) Nezdojm.							ICN		
117446	Cortinarius calochrous var. coniferarum	(M.M. Moser) Nezdojm.							ICN		
117453	Cystoderma terrei var. nogalesii	Bañares, Beltrán-Tej. & Heinem.							ICN		
117461	Gyromitra esculenta var. bubaci	(Velen.) J. Moravec							ICN		
117476	Inocybe cordalina var. erinaceomorpha	(Stangl & J. Veselský) Kuyper							ICN		
117529	Agaricus macrosporus var. kuhnerianus	(Heinem.) Bon							ICN		
117577	Chytriomyces macro-operculatus var. hirsutus	Karling							ICN		
117647	Puccinia calcitrapae var. cardui-pygnocephali	(P. Syd. & Syd.) U. Braun							ICN		
117651	Puccinia chaerophylli var. osmorrhizae	(Peck) U. Braun							ICN		
117656	Pyxine cocoës var. prominula	(Stirt.) D.D. Awasthi							ICN		
117717	Lactarius hibbardae var. glaucescens	Hesler & A.H. Sm.							ICN		
117842	Mycena helminthobasis var. novaezelandiae	E. Horak							ICN		
117865	Leptoporus wynnei f. ellipsospora	Pilát							ICN		
117874	Cortinarius calochrous f. caroli	(Velen.) Quadr.							ICN		
117886	Pithya cupressi f. albida	L.G. Krieglst.							ICN		
117898	Entoloma chalybaeum f. bisporigerum	Noordel.							ICN		
117969	Poria alpina f. pachymera	Plank							ICN		
118043	Acarospora tongleti f. rehmii	(H. Magn.) Clauzade & Cl. Roux							ICN		
118044	Acarospora tongleti f. variegata	(H. Magn.) Clauzade & Cl. Roux							ICN		
118152	Lepiota locquinii f. rioussetae	Bon							ICN		
118243	Mollisia brevispila f. artemisiae	Rehm							ICN		
118266	Fusarium oxysporum f.sp. mormodicae	S.K. Sun & J.W. Huang							ICN		
118282	Bremia lactucae f.sp. circii	Skidmore & D.S. Ingram							ICN		
118308	Typhula pungens	Khurana							ICN		
118322	Agaricus palustris	Peck							ICN		
118337	Sphaeronaema aurantiaca	Peck							ICN		
118363	Agaricus koelerionensis	(Bon) Bon							ICN		
118499	Chrysosporium sulfureum	(Fiedl.) Oorschot & Samson							ICN		
118535	Coccomyces castanopsis	(Seaver) Sherwood							ICN		
118639	Melanomma macrospora	Sacc.							ICN		
118640	Nannizzia cajetani	Ajello							ICN		
118664	Aristastoma aeconomicum	(Ellis & Tracy) Tehon							ICN		
118669	Sphaeria macowaniae	Kalchbr. & Cooke							ICN		
118682	Ramulispora alloteropsis	Thirum. & Naras.							ICN		
118683	Phomopsis aloës-percrassae	Trinchieri							ICN		
118685	Requienella saccardiana	Fabre							ICN		
118697	Septoria anemonis-transilvanicae	Săvul. & Sandu							ICN		
118701	Uromyces anthacanthis	H.S. Jacks.							ICN		
118709	Cercospora arboreae	Tharp							ICN		
118717	Mycosphaerella angentinensis	Frezzi							ICN		
118726	Geastrum asper	Lloyd							ICN		
118741	Calonectria airigera	(Berk. & Ravenel) Sacc.							ICN		
118744	Diplodia baccaridis	Hollós							ICN		
118753	Ophiobolus barbanae	(Wallr.) Rehm							ICN		
118771	Puccinia boerhaviaefoliae	Thirum.							ICN		
118788	Meliola burgusensis	Hansf.							ICN		
118794	Triblidium caliciforme	Rebent.							ICN		
118796	Scleroderris callunigera	(P. Karst.) Nannf.							ICN		
118820	Diplodia catappe	Cooke							ICN		
118823	Chaetodiplodia cauligena	P. Karst.							ICN		
118832	Meliola ceriopsidis	Hansf.							ICN		
118833	Rhopalomyces cervinum	Cooke							ICN		
118837	Phoma changena	S. Ahmad							ICN		
118838	Nectria chartaecola	(Fuckel) Sacc.							ICN		
118840	Cercospora chenopodicola	Bres.							ICN		
118845	Meliola choristylidis	Doidge							ICN		
118850	Malbranchea chrysosporioides	Sigler & J.W. Carmich.							ICN		
118852	Irenopsis circinans	Hansf.							ICN		
118853	Malbranchea circinans	Sigler & J.W. Carmich.							ICN		
118862	Thamnomyces dendroidea	Cooke & Massee							ICN		
118867	Fusarium coccophila	(Desm.) Wollenw. & Reinking							ICN		
118874	Tympanis columnaria	(Wallr.) Höhn.							ICN		
118884	Microcalicium controversum	Tibell							ICN		
118885	Coniothyrium convolvuli	A.S. Horne							ICN		
118913	Lachnella cupressi	(Batsch) W. Phillips							ICN		
118915	Mollisia curreiana	W. Phillips							ICN		
118926	Asterina dallosica	Petr.							ICN		
118931	Diplodia deflectans	P. Karst.							ICN		
118944	Phyllosticta dioscoreae-daemoniae	Henn.							ICN		
118952	Rhabdospora dumentorum	Fairm.							ICN		
118954	Aegerita duthei	Berk.							ICN		
118955	Hymenoscyphus egenulae	(Rehm) Kuntze							ICN		
118961	Phakopsora elletariae	(Racib.) Cummins							ICN		
118962	Phyllosticta elodes	(Syd.) Aa							ICN		
118963	Aecidium elythropappi	Henn.							ICN		
118964	Leucothecium emdemii	Arx & Samson							ICN		
